wordform,tagged
yak,yak<num>
bor,bor<n>
yeso,yeso<nprop><jesus>
xu,xu<pro><refl>
x̌ogirden,x̌ogird<n>><pl>
qati,qati<post><com>
ar,ar<prep><down>
yi,yi<prt><indef>
kax̌tīn,kax̌tīn<n>
nūst,nūs<v><m>><pst>
xu,xu<cnj><coord1>
lůd-i,lů<v>><pst>><3sg>
wev-ard,wev<dem><d3><pl><o>><lat>
tiyet,ti<v>><prs><2pl>
tar,tar<prep><eq>
wi,wi<dem><d3><m><sg><o>
rūya,rūya<n>
por,por<n>
δiyām,δi<v>><prs><1pl>
yā,yā<dem><d3><f><sg>
wev,wev<dem><d3><pl><o>
kax̌tīn,kax̌tīn<n>
rawůn,rawůn<n>
sat,sa<v><f/pl>><pst>
dūsik-ga,dūs<pro>><dim>><add2>
bād,bād<prt>
atā,atā<cnj><advs>
yeso,yeso<nprop><jesus>
tar,tar<prep><eq>
xūδm,xūδm<n>
δod,δo<v>><pst>
banokāf-and,banokāf<n>><loc>
yik,yik<prt><indef>
dis,dis<pro>
gandā,gandā<n>
x̌ūӡ,x̌ūʒ<n>
andūyd,andūy<v><m>><pst>
idê,idê<cnj><compl>
wi,wi<dem><d3><m><sg><o>
kax̌tīn-i,kax̌tīn<n>><3sg>
azu,az<dem><el>><d1>
taram,tar<dem><eq>><d3>
at,at<cnj><coord2>
ar,ar<prep><down>
wi,wi<dem><d3><m><sg><o>
darūn,darūn<n>
nāš,nāš<n>
x̌ac,x̌ac<n>
sut,su<v><m>><pst>
atā,atā<cnj><advs>
wev,wev<dem><d3><pl><o>
ǰůn-ard,ǰůn<n>><lat>
xatar,xatar<n>
yat,ya<v>><pst>
apostolen-en,apostol<n>><pl>><3pl>
yat,ya<v>><pst>
xu,xu<cnj><coord1>
yeso-yen,yeso<nprop><jesus>><3pl>
agā,agā<n>
čūd,čū<v>><pst>
xu,xu<cnj><coord1>
lůd-en,lů<v>><pst>><3pl>
wistoδ,wistoδ<n>
wistoδ,wistoδ<n>
šič-ta,šič<prt>><irr>
alok,alok<n>
sāwām,sāw<v>><prs><1pl>
yeso,yeso<nprop><jesus>
agā,agā<n>
sut,su<v><m>><pst>
xu,xu<cnj><coord1>
wi,wi<dem><d3><m><sg><o>
x̌ūӡ,x̌ūʒ<n>
at,at<cnj><coord2>
x̌ac,x̌ac<n>
mawǰen-i,mawǰ<n>><pl>><3sg>
binêst,binês<v>><pst>
atā,atā<cnj><advs>
fuka,fuk<pro>><adv>
ǰo,ǰo<pro><place>
orůmi,orůmi<n>
sut,su<v><m>><pst>
atā,atā<cnj><advs>
yeso,yeso<nprop><jesus>
xu,xu<pro><refl>
x̌ogirden-ard-i,x̌ogird<n>><pl>><lat>><3sg>
lůd,lů<v>><pst>
tama,tama<pers><prn><2pl>
yemůn,yemůn<n>
kāyi,kāyi<pro>
apostolen-en,apostol<n>><pl>><3pl>
x̌oǰ,x̌oǰ<n>
pi,pi<prep><up>
x̌oǰ,x̌oǰ<n>
at,at<cnj><coord2>
ayrůn-aθ,ayrůn<n>><adv>
tar,tar<prep><eq>
yakdigar,yakdigar<pro><recp>
gāx̌t,gāx̌<v>><pst>
yid,yid<dem><d2><sg>
ku,ku<prt>
čāy,čāy<pro>
ved,ve<v>><prs><3sg>
idê,idê<cnj><compl>
x̌ūӡ,x̌ūʒ<n>
at,at<cnj><coord2>
x̌ac-ard,x̌ac<n>><lat>
mis,mis<prt><add2>
farmůn,farmůn<n>
δīd,δī<v>><prs><3sg>
atā,atā<cnj><advs>
wāδ,wāδ<dem><d3><pl>
tobê,tobê<n>
sen,s<v>><prs><3pl>
