rūzo,rūzo<n>,*rūzo,UNKNOWN
čūǰ,čū<v>><pf>,*čūǰ,UNKNOWN
aro,aro<prt><adr>,*aro,UNKNOWN
kayůno…,kayůn<n>><coord3>,*kayůno…,UNKNOWN
zex̌tow,zex̌<v>><inf>><purp>,*zex̌tow,UNKNOWN
xīdowra,xī<v>><inf>><purp>><dat>,*xīdowra,UNKNOWN
vobšêm,vobšêm<prt><hez>,*vobšêm,UNKNOWN
xulosa…,xulosa<n>,*xulosa…,UNKNOWN
bādi,bād<n>><3sg>,*bādi,UNKNOWN
bādi,bād<n>><3sg>,*bādi,UNKNOWN
iga,i<pro><indef>><add1>,*iga,UNKNOWN
aro,aro<prt><adr>,*aro,UNKNOWN
xezand,xez<post><apud>><loc>,*xezand,UNKNOWN
xezand,xez<post><apud>><loc>,*xezand,UNKNOWN
bād,bād<n>,*bād,UNKNOWN
daraxten…,daraxt<n>><pl>,*daraxten…,UNKNOWN
sifīnt,sifīn<v>><prs><3sg>,*sifīnt,UNKNOWN
zêzd,zêz<v>><prs><3sg>,*zêzd,UNKNOWN
wiǰa,wi<dem><d3><m><sg><obl>><p><loc>,*wiǰa,UNKNOWN
bād,bād<n>,*bād,UNKNOWN
yoδd,yoδ<v>><prs><3sg>,*yoδd,UNKNOWN
ɣiδabucak,ɣiδa<n>><child><m>><dim>,*ɣiδabucak,UNKNOWN
yoδd,yoδ<v>><prs><3sg>,*yoδd,UNKNOWN
deδd,deδ<v>><prs><3sg>,*deδd,UNKNOWN
půndtiyaθ,půnd<n>><sup>><adv>,*půndtiyaθ,UNKNOWN
bād,bād<n>,*bād,UNKNOWN
ku,ku<prt><ptcl>,*ku,UNKNOWN
δuga,δu<num>><add1>,*δuga,UNKNOWN
dāk,dāk<v>,*dāk,UNKNOWN
bād,bād<n>,*bād,UNKNOWN
δuga,δu<num>><add1>,*δuga,UNKNOWN
dākix̌t,dā<v>><do>><prs><3sg>,*dākix̌t,UNKNOWN
dākix̌t,dā<v>><do>><prs><3sg>,*dākix̌t,UNKNOWN
bād,bād<n>,*bād,UNKNOWN
sifīnt,sifīn<v>><prs><3sg>,*sifīnt,UNKNOWN
aro,aro<prt><adr>,*aro,UNKNOWN
velasipedti,velasiped<n>><sup>,*velasipedti,UNKNOWN
bād,bād<n>,*bād,UNKNOWN
tīzd,tīz<v>><prs><3sg>,*tīzd,UNKNOWN
ɣiδabucak,ɣiδa<n>><child><m>><dim>,*ɣiδabucak,UNKNOWN
vīdimo,vīdimo<n>,*vīdimo,UNKNOWN
tīzdo,tīz<v>><prs><3sg>><q>,*tīzdo,UNKNOWN
aro,aro<prt><adr>,*aro,UNKNOWN
ɣal,ɣal<prt>,*ɣal,UNKNOWN
nisto,nist<v><neg>><q>,*nisto,UNKNOWN
yast,yast<v>,*yast,UNKNOWN
aro,aro<prt><adr>,*aro,UNKNOWN
ɣiδābucak,ɣiδā<n>><child><m>><dim>,*ɣiδābucak,UNKNOWN
bād,bād<n>,*bād,UNKNOWN
aro,aro<prt><adr>,*aro,UNKNOWN
tīdowandatā,tī<v>><inf>><purp>><loc>><advs>,*tīdowandatā,UNKNOWN
sůd,sů<v>><prs><3sg>,*sůd,UNKNOWN
sabadenand…,sabad<n>><pl>><loc>,*sabadenand…,UNKNOWN
aro,aro<prt><adr>,*aro,UNKNOWN
důna,důna<n>,*důna,UNKNOWN
bād,bād<n>,*bād,UNKNOWN
sůd,sů<v>><prs><3sg>,*sůd,UNKNOWN
iga,i<pro><indef>><add1>,*iga,UNKNOWN
aro,aro<prt><adr>,*aro,UNKNOWN
qatiyatā,qati<post><com>><advs>,*qatiyatā,UNKNOWN
yasto?,yast<v>><q>,*yasto?,UNKNOWN
