cyrillic,meaning
дақ,идти рысью (о лошади)
дақен,"качать, шатать; трясти"
дақен,"возить; таскать, волочить"
лац,"подаваться под нажимом, оставлять на себе вмятины"
лац,быть вязким
лац,"подрагивать, колебаться"
пал,"несильно гореть, теплиться"
пал,"поблескивать, блестеть, мерцать"
пал,слабо видеть (о глазах)
тар,"тарахтеть, трещать, шуметь"
тар,испускать газы
тар,"орать, кричать"
финг,тихо ржать (о лошади)
фах̌,"пыхтеть, тяжело дышать, часто дышать"
фах̌,"молчать, сердиться, дуться"
цирāвд,"саднить, щипать, нащипывать, гореть, жечь, болеть"
цирāвд,"горевать, тосковать, печалиться; скорбеть"
цар,"шуршать, шелестеть; царапаться"
цар,"капать, моросить, шуршать (напр., об осадках)"
ӡар,испускать газы
шитар,громко испускать ветры
шитар,"кричать, горланить, орать"
ғибах̌,"кончаться, заканчиваться (о вязании)"
ғибах̌,прекращать рост; оставаться на одном и том же уровне
ғат,"гоготать (о гусях), кудахтать, крякать (о курах, утках и уларах)"
ғат,"сердито бормотать, ворчать, бурчать"
қат,кудахтать; кукарекать
дец,"входить, вступать"
